sample	chr	startpos	endpos	nMajor	nMinor
TCGA-FZ-5926	1	61735	249224388	1	1
TCGA-FZ-5926	2	12784	243089456	1	1
TCGA-FZ-5926	3	60345	197896118	1	1
TCGA-FZ-5926	4	12281	191027923	1	1
TCGA-FZ-5926	5	15532	180790320	1	1
TCGA-FZ-5926	6	149661	171051005	1	1
TCGA-FZ-5926	7	43259	159127004	1	1
TCGA-FZ-5926	8	31254	146298155	1	1
TCGA-FZ-5926	9	46587	141091394	1	1
TCGA-FZ-5926	10	72759	135506704	1	1
TCGA-FZ-5926	11	198572	134944770	1	1
TCGA-FZ-5926	12	150442	133778189	1	1
TCGA-FZ-5926	13	19026949	115108397	1	1
TCGA-FZ-5926	14	19002124	107285437	1	1
TCGA-FZ-5926	15	20016328	22783574	2	1
TCGA-FZ-5926	15	22784067	102469040	1	1
TCGA-FZ-5926	16	60777	90287535	1	1
TCGA-FZ-5926	17	526	81049726	1	1
TCGA-FZ-5926	18	48133	78015057	1	1
TCGA-FZ-5926	19	90910	59097854	1	1
TCGA-FZ-5926	20	61305	62956153	1	1
TCGA-FZ-5926	21	10736871	48096957	1	1
TCGA-FZ-5926	22	16052528	51234455	1	1
TCGA-FZ-5926	X	168477	155233846	1	1
